부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
BM-B2F-0118,BEAM,B2F,DONG,160123.5,2280943.3,-9050.0,-5600.0,,937.7,104.0,3450.0,0.15,0.0,S-GIRDER
BM-B2F-0119,BEAM,B2F,DONG,161337.7,2276073.5,-9050.0,-5600.0,,8300.0,104.0,3450.0,1.328,0.0,S-GIRDER
BM-B2F-0120,BEAM,B2F,DONG,161828.9,2276170.2,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0121,BEAM,B2F,DONG,164411.9,2281580.8,-9050.0,-5600.0,,7630.4,14.0,3450.0,1.221,0.0,S-GIRDER
BM-B2F-0122,BEAM,B2F,DONG,164542.3,2281098.0,-9050.0,-5600.0,,7650.0,14.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0123,BEAM,B2F,DONG,171043.3,2282718.9,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0124,BEAM,B2F,DONG,166832.9,2285097.8,-9050.0,-5600.0,,5785.9,116.3,3450.0,0.926,0.0,S-GIRDER
BM-B2F-0125,BEAM,B2F,DONG,167263.4,2285355.1,-9050.0,-5600.0,,6083.9,116.3,3450.0,0.973,0.0,S-GIRDER
BM-B2F-0126,BEAM,B2F,DONG,170918.5,2283203.1,-9050.0,-5600.0,,4757.9,14.0,3450.0,0.761,0.0,S-GIRDER
BM-B2F-0127,BEAM,B2F,DONG,127674.4,2267654.5,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0128,BEAM,B2F,DONG,127149.5,2271826.5,-9050.0,-5600.0,,16600.0,104.0,3450.0,2.656,0.0,S-GIRDER
BM-B2F-0129,BEAM,B2F,DONG,145749.6,2267909.9,-9050.0,-5600.0,,34200.1,14.0,3450.0,5.472,0.0,S-GIRDER
BM-B2F-0130,BEAM,B2F,DONG,120154.7,2265779.7,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0131,BEAM,B2F,DONG,120639.8,2265900.6,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0132,BEAM,B2F,DONG,123159.2,2270780.0,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0133,BEAM,B2F,DONG,125956.7,2274543.6,-9050.0,-5600.0,,4950.0,104.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0134,BEAM,B2F,DONG,118431.0,2272693.0,-9050.0,-5600.0,,5000.0,104.0,3450.0,0.8,0.0,S-GIRDER
BM-B2F-0135,BEAM,B2F,DONG,117527.6,2278383.0,-9050.0,-5600.0,,5378.9,104.0,3450.0,0.861,0.0,S-GIRDER
BM-B2F-0136,BEAM,B2F,DONG,123038.2,2271265.2,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
