부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-B2F-0315,column,0.3881,0.0,6.21,0.0
COL-B2F-0316,column,0.3881,0.0,6.21,0.0
COL-B2F-0317,column,0.3881,0.0,6.21,0.0
COL-B2F-0318,column,0.3881,0.0,6.21,0.0
COL-B2F-0319,column,0.3881,0.0,6.21,0.0
COL-B2F-0320,column,0.3881,0.0,6.21,0.0
COL-B2F-0321,column,1.4376,0.0,9.405,0.0
COL-B2F-0322,column,0.3881,0.0,6.21,0.0
COL-B2F-0323,column,0.3881,0.0,6.21,0.0
COL-B2F-0324,column,0.3881,0.0,6.21,0.0
COL-B2F-0325,column,0.3881,0.0,6.21,0.0
COL-B2F-0326,column,0.3881,0.0,6.21,0.0
COL-B2F-0327,column,0.3881,0.0,6.21,0.0
COL-B2F-0328,column,1.4376,0.0,9.405,0.0
COL-B2F-0329,column,0.3881,0.0,6.21,0.0
COL-B2F-0330,column,0.3881,0.0,6.21,0.0
COL-B2F-0331,column,0.3881,0.0,6.21,0.0
COL-B2F-0332,column,0.3881,0.0,6.21,0.0
COL-B2F-0333,column,0.3881,0.0,6.21,0.0
COL-B2F-0334,column,0.3881,0.0,6.21,0.0
COL-B2F-0335,column,1.4376,0.0,9.405,0.0
COL-B2F-0336,column,0.3881,0.0,6.21,0.0
COL-B2F-0337,column,0.3881,0.0,6.21,0.0
COL-B2F-0338,column,0.3881,0.0,6.21,0.0
COL-B2F-0339,column,0.3881,0.0,6.21,0.0
COL-B2F-0340,column,0.3881,0.0,6.21,0.0
COL-B2F-0341,column,0.3881,0.0,6.21,0.0
COL-B2F-0342,column,1.4376,0.0,9.405,0.0
COL-B2F-0343,column,0.3881,0.0,6.21,0.0
COL-B2F-0344,column,0.3881,0.0,6.21,0.0
COL-B2F-0345,column,0.3881,0.0,6.21,0.0
COL-B2F-0346,column,0.3881,0.0,6.21,0.0
COL-B2F-0347,column,0.3881,0.0,6.21,0.0
COL-B2F-0348,column,0.3881,0.0,6.21,0.0
COL-B2F-0349,column,1.4376,0.0,9.405,0.0
COL-B2F-0350,column,0.3881,0.0,6.21,0.0
COL-B2F-0351,column,0.3881,0.0,6.21,0.0
COL-B2F-0352,column,0.3881,0.0,6.21,0.0
COL-B2F-0353,column,0.3881,0.0,6.21,0.0
COL-B2F-0354,column,0.3881,0.0,6.21,0.0
COL-B2F-0355,column,0.3881,0.0,6.21,0.0
COL-B2F-0356,column,1.4376,0.0,9.405,0.0
COL-B2F-0357,column,0.3881,0.0,6.21,0.0
COL-B2F-0358,column,0.3881,0.0,6.21,0.0
COL-B2F-0359,column,0.3881,0.0,6.21,0.0
COL-B2F-0360,column,0.3881,0.0,6.21,0.0
COL-B2F-0361,column,0.3881,0.0,6.21,0.0
COL-B2F-0362,column,0.3881,0.0,6.21,0.0
COL-B2F-0363,column,1.4376,0.0,9.405,0.0
COL-B2F-0364,column,0.3881,0.0,6.21,0.0
COL-B2F-0365,column,0.3881,0.0,6.21,0.0
COL-B2F-0366,column,0.3881,0.0,6.21,0.0
COL-B2F-0367,column,0.3881,0.0,6.21,0.0
COL-B2F-0368,column,0.3881,0.0,6.21,0.0
COL-B2F-0369,column,0.3881,0.0,6.21,0.0
COL-B2F-0370,column,1.4376,0.0,9.405,0.0
COL-B2F-0371,column,0.3881,0.0,6.21,0.0
COL-B2F-0372,column,0.3881,0.0,6.21,0.0
COL-B2F-0373,column,0.3881,0.0,6.21,0.0
COL-B2F-0374,column,0.3881,0.0,6.21,0.0
COL-B2F-0375,column,0.3881,0.0,6.21,0.0
COL-B2F-0376,column,0.3881,0.0,6.21,0.0
COL-B2F-0377,column,1.4376,0.0,9.405,0.0
COL-B2F-0378,column,0.3881,0.0,6.21,0.0
COL-B2F-0379,column,0.3881,0.0,6.21,0.0
COL-B2F-0380,column,0.3881,0.0,6.21,0.0
COL-B2F-0381,column,0.3881,0.0,6.21,0.0
COL-B2F-0382,column,0.3881,0.0,6.21,0.0
COL-B2F-0383,column,0.3881,0.0,6.21,0.0
COL-B2F-0384,column,1.4376,0.0,9.405,0.0
COL-B2F-0385,column,0.3881,0.0,6.21,0.0
COL-B2F-0386,column,0.3881,0.0,6.21,0.0
COL-B2F-0387,column,0.3881,0.0,6.21,0.0
COL-B2F-0388,column,0.3881,0.0,6.21,0.0
COL-B2F-0389,column,0.3881,0.0,6.21,0.0
COL-B2F-0390,column,0.3881,0.0,6.21,0.0
COL-B2F-0391,column,1.4376,0.0,9.405,0.0
COL-B2F-0392,column,0.3881,0.0,6.21,0.0
COL-B2F-0393,column,0.3881,0.0,6.21,0.0
COL-B2F-0394,column,0.3881,0.0,6.21,0.0
COL-B2F-0395,column,0.3881,0.0,6.21,0.0
COL-B2F-0396,column,0.3881,0.0,6.21,0.0
COL-B2F-0397,column,0.3881,0.0,6.21,0.0
COL-B2F-0398,column,1.4376,0.0,9.405,0.0
COL-B2F-0399,column,0.3881,0.0,6.21,0.0
COL-B2F-0400,column,0.3881,0.0,6.21,0.0
COL-B2F-0401,column,0.3881,0.0,6.21,0.0
COL-B2F-0402,column,0.3881,0.0,6.21,0.0
COL-B2F-0403,column,0.3881,0.0,6.21,0.0
COL-B2F-0404,column,0.3881,0.0,6.21,0.0
COL-B2F-0405,column,1.4376,0.0,9.405,0.0
COL-B2F-0406,column,0.3881,0.0,6.21,0.0
COL-B2F-0407,column,0.3881,0.0,6.21,0.0
COL-B2F-0408,column,0.3881,0.0,6.21,0.0
COL-B2F-0409,column,0.3881,0.0,6.21,0.0
COL-B2F-0410,column,0.3881,0.0,6.21,0.0
COL-B2F-0411,column,0.3881,0.0,6.21,0.0
COL-B2F-0412,column,1.4376,0.0,9.405,0.0
COL-B2F-0413,column,0.3881,0.0,6.21,0.0
COL-B2F-0414,column,0.3881,0.0,6.21,0.0
COL-B2F-0415,column,0.3881,0.0,6.21,0.0
COL-B2F-0416,column,0.3881,0.0,6.21,0.0
COL-B2F-0417,column,0.3881,0.0,6.21,0.0
COL-B2F-0418,column,0.3881,0.0,6.21,0.0
COL-B2F-0419,column,1.4376,0.0,9.405,0.0
COL-B2F-0420,column,0.3881,0.0,6.21,0.0
COL-B2F-0421,column,0.3881,0.0,6.21,0.0
COL-B2F-0422,column,0.3881,0.0,6.21,0.0
COL-B2F-0423,column,0.3881,0.0,6.21,0.0
COL-B2F-0424,column,0.3881,0.0,6.21,0.0
COL-B2F-0425,column,0.3881,0.0,6.21,0.0
COL-B2F-0426,column,0.3881,0.0,6.21,0.0
COL-B2F-0427,column,0.3881,0.0,6.21,0.0
COL-B2F-0428,column,1.4376,0.0,9.405,0.0
COL-B2F-0429,column,0.3881,0.0,6.21,0.0
COL-B2F-0430,column,0.3881,0.0,6.21,0.0
COL-B2F-0431,column,0.3881,0.0,6.21,0.0
COL-B2F-0432,column,0.3881,0.0,6.21,0.0
COL-B2F-0433,column,0.3881,0.0,6.21,0.0
COL-B2F-0434,column,0.3881,0.0,6.21,0.0
COL-B2F-0435,column,1.4376,0.0,9.405,0.0
COL-B2F-0436,column,0.3881,0.0,6.21,0.0
COL-B2F-0437,column,0.3881,0.0,6.21,0.0
COL-B2F-0438,column,0.3881,0.0,6.21,0.0
COL-B2F-0439,column,0.3881,0.0,6.21,0.0
COL-B2F-0440,column,0.3881,0.0,6.21,0.0
COL-B2F-0441,column,0.3881,0.0,6.21,0.0
COL-B2F-0442,column,1.4376,0.0,9.405,0.0
COL-B2F-0443,column,0.3881,0.0,6.21,0.0
COL-B2F-0444,column,0.3881,0.0,6.21,0.0
COL-B2F-0445,column,1.4376,0.0,9.405,0.0
COL-B2F-0446,column,0.3881,0.0,6.21,0.0
COL-B2F-0447,column,0.3881,0.0,6.21,0.0
COL-B2F-0448,column,1.4376,0.0,9.405,0.0
COL-B2F-0449,column,4.242,0.0,15.394,0.0
COL-B2F-0450,column,1.4934,0.0,9.08,0.0
COL-B2F-0451,column,1.0005,0.0,7.452,0.0
COL-B2F-0452,column,0.6624,0.0,6.072,0.0
COL-B2F-0453,column,0.3814,0.0,4.616,0.0
COL-B2F-0454,column,0.1339,0.0,2.719,0.0
COL-B2F-0455,column,4.242,0.0,15.394,0.0
COL-B2F-0456,column,1.4934,0.0,9.08,0.0
COL-B2F-0457,column,0.3881,0.0,6.21,0.0
