부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-sheet_1-0320,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0321,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0322,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0323,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0324,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0325,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0326,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0327,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0328,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0329,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0330,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0331,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0332,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0333,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0334,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0335,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0336,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0337,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0338,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0339,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0340,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0341,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0342,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0343,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0344,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0345,column,1.12,0.0,8.4,0.0
COL-sheet_1-0346,column,1.12,0.0,8.4,0.0
COL-sheet_1-0347,column,1.12,0.0,8.4,0.0
COL-sheet_1-0348,column,1.12,0.0,8.4,0.0
COL-sheet_1-0349,column,1.12,0.0,8.4,0.0
COL-sheet_1-0350,column,1.12,0.0,8.4,0.0
COL-sheet_1-0351,column,1.12,0.0,8.4,0.0
COL-sheet_1-0352,column,1.12,0.0,8.4,0.0
COL-sheet_1-0353,column,1.12,0.0,8.4,0.0
COL-sheet_1-0354,column,1.12,0.0,8.4,0.0
COL-sheet_1-0355,column,1.12,0.0,8.4,0.0
COL-sheet_1-0356,column,1.12,0.0,8.4,0.0
COL-sheet_1-0357,column,1.12,0.0,8.4,0.0
COL-sheet_1-0358,column,1.12,0.0,8.4,0.0
COL-sheet_1-0359,column,1.12,0.0,8.4,0.0
COL-sheet_1-0360,column,1.12,0.0,8.4,0.0
COL-sheet_1-0361,column,1.12,0.0,8.4,0.0
COL-sheet_1-0362,column,1.12,0.0,8.4,0.0
COL-sheet_1-0363,column,1.12,0.0,8.4,0.0
COL-sheet_1-0364,column,1.12,0.0,8.4,0.0
COL-sheet_1-0365,column,2.52,0.0,12.6,0.0
COL-sheet_1-0366,column,2.1,0.0,11.2,0.0
COL-sheet_1-0367,column,3.15,0.0,14.7,0.0
COL-sheet_1-0368,column,2.52,0.0,12.6,0.0
COL-sheet_1-0369,column,2.73,0.0,13.3,0.0
COL-sheet_1-0370,column,4.2,0.0,16.1,0.0
COL-sheet_1-0371,column,3.675,0.0,15.4,0.0
COL-sheet_1-0372,column,6.8728,0.0,19.642,0.0
COL-sheet_1-0373,column,9.0859,0.0,22.596,0.0
COL-sheet_1-0374,column,3.15,0.0,14.7,0.0
COL-sheet_1-0375,column,2.52,0.0,12.6,0.0
COL-sheet_1-0376,column,3.36,0.0,15.4,0.0
COL-sheet_1-0377,column,3.78,0.0,16.8,0.0
COL-sheet_1-0378,column,6.8728,0.0,19.642,0.0
COL-sheet_1-0379,column,12.5114,0.0,26.516,0.0
COL-sheet_1-0380,column,5.8304,0.0,18.158,0.0
COL-sheet_1-0381,column,8.0138,0.0,22.05,0.0
COL-sheet_1-0382,column,5.292,0.0,17.815,0.0
COL-sheet_1-0383,column,8.4555,0.0,21.763,0.0
COL-sheet_1-0384,column,7.7009,0.0,20.769,0.0
COL-sheet_1-0385,column,4.4092,0.0,16.114,0.0
COL-sheet_1-0386,column,5.9227,0.0,18.662,0.0
COL-sheet_1-0387,column,5.6377,0.0,17.773,0.0
COL-sheet_1-0388,column,2.52,0.0,12.6,0.0
COL-sheet_1-0389,column,3.15,0.0,14.7,0.0
COL-sheet_1-0390,column,3.15,0.0,14.7,0.0
COL-sheet_1-0391,column,2.52,0.0,12.6,0.0
COL-sheet_1-0392,column,5.2442,0.0,17.206,0.0
COL-sheet_1-0393,column,9.8821,0.0,23.569,0.0
