부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
WL-S30-007-0069,wall,1.015,5.075,10.15,1.45
WL-S30-007-0070,wall,0.2933,0.7,1.4,0.2
WL-S30-007-0071,wall,1.0865,5.46,10.92,1.56
WL-S30-007-0072,wall,1.4034,7.052,14.105,2.015
WL-S30-007-0073,wall,1.1771,5.915,11.83,1.69
WL-S30-007-0074,wall,4.7815,24.027,48.055,6.865
WL-S30-007-0075,wall,0.224,1.12,2.24,0.32
WL-S30-007-0076,wall,0.0329,0.333,0.665,0.095
WL-S30-007-0077,wall,0.805,0.7,1.4,0.2
WL-S30-007-0078,wall,0.4527,2.275,4.55,0.65
WL-S30-007-0079,wall,0.6083,0.7,1.4,0.2
WL-S30-007-0080,wall,0.801,4.025,8.05,1.15
WL-S30-007-0081,wall,0.5313,0.7,1.4,0.2
WL-S30-007-0082,wall,0.609,3.045,6.09,0.87
WL-S30-007-0083,wall,0.532,2.66,5.32,0.76
WL-S30-007-0084,wall,0.994,4.97,9.94,1.42
WL-S30-007-0085,wall,1.0024,5.6,11.2,1.6
WL-S30-007-0086,wall,0.5914,4.97,9.94,1.42
WL-S30-007-0087,wall,1.5624,8.68,17.36,2.48
WL-S30-007-0088,wall,0.579,0.63,1.26,0.18
WL-S30-007-0089,wall,2.4759,2.222,4.445,0.635
WL-S30-007-0090,wall,1.3157,7.35,14.7,2.1
WL-S30-007-0091,wall,1.0149,5.67,11.34,1.62
WL-S30-007-0092,wall,0.392,0.35,0.7,0.1
WL-S30-007-0093,wall,0.455,0.35,0.7,0.1
WL-S30-007-0094,wall,0.3185,1.593,3.185,0.455
WL-S30-007-0095,wall,0.7133,0.7,1.4,0.2
WL-S30-007-0096,wall,0.3657,1.838,3.675,0.525
WL-S30-007-0097,wall,0.714,0.7,1.4,0.2
WL-S30-007-0098,wall,0.315,1.575,3.15,0.45
WL-S30-007-0099,wall,6.5406,5.845,11.69,1.67
WL-S30-007-0100,wall,1.0713,5.985,11.97,1.71
WL-S30-007-0101,wall,1.0517,5.285,10.57,1.51
WL-S30-007-0102,wall,0.504,0.7,1.4,0.2
WL-S30-007-0103,wall,0.5015,2.52,5.04,0.72
WL-S30-007-0104,wall,1.7263,2.66,5.32,0.76
WL-S30-007-0105,wall,0.3831,1.925,3.85,0.55
WL-S30-007-0106,wall,1.554,7.77,15.54,2.22
WL-S30-007-0107,wall,0.801,4.025,8.05,1.15
WL-S30-007-0108,wall,0.714,0.7,1.4,0.2
WL-S30-007-0109,wall,0.1497,0.752,1.505,0.215
WL-S30-007-0110,wall,0.7662,3.85,7.7,1.1
WL-S30-007-0111,wall,0.39,1.96,3.92,0.56
WL-S30-007-0112,wall,0.952,4.76,9.52,1.36
WL-S30-007-0113,wall,0.1393,0.7,1.4,0.2
